ASR,CTX,PPS,t
ASR,CTX,EPI,t’
ASR,CTX,ALG,tʰ
ASR,CTX,IPU,l
ASR,CTX,RFU,tr
ASR,CTX,REB,tl
ASR,CTX,THR,tř
ASR,CTX,EXV,tw
ASR,CTX,AXM,ty
ASR,PCT,PPS,k
ASR,PCT,EPI,k’
ASR,PCT,ALG,kʰ
ASR,PCT,IPU,x
ASR,PCT,RFU,kr
ASR,PCT,REB,kl
ASR,PCT,THR,kř
ASR,PCT,EXV,kw
ASR,PCT,AXM,ky
ASR,ITR,PPS,p
ASR,ITR,EPI,p’
ASR,ITR,ALG,pʰ
ASR,ITR,IPU,vv
ASR,ITR,RFU,pr
ASR,ITR,REB,pl
ASR,ITR,THR,př
ASR,ITR,EXV,pw
ASR,ITR,AXM,py
ASR,REP,PPS,q
ASR,REP,EPI,q’
ASR,REP,ALG,qʰ
ASR,REP,IPU,ř
ASR,REP,RFU,qr
ASR,REP,REB,ql
ASR,REP,THR,xr
ASR,REP,EXV,qw
ASR,REP,AXM,xl
ASR,ITM,PPS,b
ASR,ITM,EPI,v
ASR,ITM,ALG,vr
ASR,ITM,IPU,vl
ASR,ITM,RFU,br
ASR,ITM,REB,bl
ASR,ITM,THR,bř
ASR,ITM,EXV,bw
ASR,ITM,AXM,by
ASR,RCT,PPS,d
ASR,RCT,EPI,dh
ASR,RCT,ALG,ż
ASR,RCT,IPU,żż
ASR,RCT,RFU,dr
ASR,RCT,REB,dl
ASR,RCT,THR,dř
ASR,RCT,EXV,dw
ASR,RCT,AXM,dy
ASR,FRE,PPS,g
ASR,FRE,EPI,xh
ASR,FRE,ALG,j
ASR,FRE,IPU,jj
ASR,FRE,RFU,gr
ASR,FRE,REB,gl
ASR,FRE,THR,gř
ASR,FRE,EXV,gw
ASR,FRE,AXM,gy
ASR,FRG,PPS,m
ASR,FRG,EPI,mm
ASR,FRG,ALG,r
ASR,FRG,IPU,rr
ASR,FRG,RFU,mr
ASR,FRG,REB,ml
ASR,FRG,THR,mř
ASR,FRG,EXV,mw
ASR,FRG,AXM,my
ASR,FLC,PPS,n
ASR,FLC,EPI,nn
ASR,FLC,ALG,ddh
ASR,FLC,IPU,ll
ASR,FLC,RFU,nr
ASR,FLC,REB,nl
ASR,FLC,THR,nř
ASR,FLC,EXV,nw
ASR,FLC,AXM,ny
IRG,CTX,PPS,s
IRG,CTX,EPI,ss
IRG,CTX,ALG,sm
IRG,CTX,IPU,sn
IRG,CTX,RFU,sr
IRG,CTX,REB,sl
IRG,CTX,THR,sř
IRG,CTX,EXV,sw
IRG,CTX,AXM,sy
IRG,PCT,PPS,š
IRG,PCT,EPI,šš
IRG,PCT,ALG,šm
IRG,PCT,IPU,šn
IRG,PCT,RFU,šr
IRG,PCT,REB,šl
IRG,PCT,THR,šř
IRG,PCT,EXV,šw
IRG,PCT,AXM,šy
IRG,ITR,PPS,ç
IRG,ITR,EPI,çç
IRG,ITR,ALG,çm
IRG,ITR,IPU,çn
IRG,ITR,RFU,çl
IRG,ITR,REB,çr
IRG,ITR,THR,çř
IRG,ITR,EXV,çw
IRG,ITR,AXM,ly
IRG,REP,PPS,c
IRG,REP,EPI,cc
IRG,REP,ALG,cm
IRG,REP,IPU,cn
IRG,REP,RFU,cr
IRG,REP,REB,cl
IRG,REP,THR,cř
IRG,REP,EXV,cw
IRG,REP,AXM,cy
IRG,ITM,PPS,č
IRG,ITM,EPI,čč
IRG,ITM,ALG,čm
IRG,ITM,IPU,čn
IRG,ITM,RFU,čr
IRG,ITM,REB,čl
IRG,ITM,THR,čř
IRG,ITM,EXV,čw
IRG,ITM,AXM,čy
IRG,RCT,PPS,z
IRG,RCT,EPI,zz
IRG,RCT,ALG,zm
IRG,RCT,IPU,zn
IRG,RCT,RFU,zr
IRG,RCT,REB,zl
IRG,RCT,THR,zř
IRG,RCT,EXV,zw
IRG,RCT,AXM,zy
IRG,FRE,PPS,ž
IRG,FRE,EPI,žž
IRG,FRE,ALG,žm
IRG,FRE,IPU,žn
IRG,FRE,RFU,žr
IRG,FRE,REB,žl
IRG,FRE,THR,žř
IRG,FRE,EXV,žw
IRG,FRE,AXM,žy
IRG,FRG,PPS,f
IRG,FRG,EPI,ff
IRG,FRG,ALG,fw
IRG,FRG,IPU,fy
IRG,FRG,RFU,fr
IRG,FRG,REB,fl
IRG,FRG,THR,fř
IRG,FRG,EXV,vw
IRG,FRG,AXM,vy
IRG,FLC,PPS,ţ
IRG,FLC,EPI,ţţ
